block,component,device,latency_ms,order_position,training_seed,variant
26,end_to_end_policy,cpu,2.33119,3,42,SwitchGLOBE Exact
26,end_to_end_policy,cpu,0.797634,4,42,Historical KD+PPO Local
26,end_to_end_policy,cpu,1.548523,5,42,Predictive Student (No Switch)
26,end_to_end_policy,cpu,0.828139,6,42,FastSwitchGLOBE
26,end_to_end_policy,cpu,2.283843,7,42,Privileged Global Teacher
27,end_to_end_policy,cpu,0.78969,0,42,Historical KD+PPO Local
27,end_to_end_policy,cpu,2.289231,1,42,SwitchGLOBE Exact
27,end_to_end_policy,cpu,0.852209,2,42,FastSwitchGLOBE
27,end_to_end_policy,cpu,0.778243,3,42,Historical PPO-only Local (No KD)
27,end_to_end_policy,cpu,1.570536,4,42,Predictive Student (No Switch)
27,end_to_end_policy,cpu,2.2779,5,42,Privileged Global Teacher
27,end_to_end_policy,cpu,0.554479,6,42,Predictive Prior Only
27,end_to_end_policy,cpu,1.042139,7,42,Geo-Residual Student
28,end_to_end_policy,cpu,2.23228,0,42,SwitchGLOBE Exact
28,end_to_end_policy,cpu,1.079626,1,42,Geo-Residual Student
28,end_to_end_policy,cpu,1.572221,2,42,Predictive Student (No Switch)
28,end_to_end_policy,cpu,0.696639,3,42,Historical PPO-only Local (No KD)
28,end_to_end_policy,cpu,2.314807,4,42,Privileged Global Teacher
28,end_to_end_policy,cpu,0.525638,5,42,Predictive Prior Only
28,end_to_end_policy,cpu,0.858674,6,42,FastSwitchGLOBE
28,end_to_end_policy,cpu,0.808481,7,42,Historical KD+PPO Local
29,end_to_end_policy,cpu,2.287045,0,42,Privileged Global Teacher
29,end_to_end_policy,cpu,0.793583,1,42,Historical PPO-only Local (No KD)
29,end_to_end_policy,cpu,1.576063,2,42,Predictive Student (No Switch)
29,end_to_end_policy,cpu,0.802616,3,42,FastSwitchGLOBE
29,end_to_end_policy,cpu,0.529507,4,42,Predictive Prior Only
29,end_to_end_policy,cpu,1.031541,5,42,Geo-Residual Student
29,end_to_end_policy,cpu,0.75958,6,42,Historical KD+PPO Local
29,end_to_end_policy,cpu,2.246843,7,42,SwitchGLOBE Exact
30,end_to_end_policy,cpu,0.481241,0,42,Predictive Prior Only
30,end_to_end_policy,cpu,1.562237,1,42,Predictive Student (No Switch)
30,end_to_end_policy,cpu,2.232095,2,42,Privileged Global Teacher
30,end_to_end_policy,cpu,1.095522,3,42,Geo-Residual Student
30,end_to_end_policy,cpu,2.271156,4,42,SwitchGLOBE Exact
30,end_to_end_policy,cpu,0.891015,5,42,FastSwitchGLOBE
30,end_to_end_policy,cpu,0.768274,6,42,Historical KD+PPO Local
30,end_to_end_policy,cpu,0.75542,7,42,Historical PPO-only Local (No KD)
31,end_to_end_policy,cpu,0.779111,0,42,Historical KD+PPO Local
31,end_to_end_policy,cpu,2.264236,1,42,SwitchGLOBE Exact
31,end_to_end_policy,cpu,0.884449,2,42,FastSwitchGLOBE
31,end_to_end_policy,cpu,0.548087,3,42,Predictive Prior Only
31,end_to_end_policy,cpu,2.237136,4,42,Privileged Global Teacher
31,end_to_end_policy,cpu,0.80695,5,42,Historical PPO-only Local (No KD)
31,end_to_end_policy,cpu,1.062574,6,42,Geo-Residual Student
31,end_to_end_policy,cpu,1.540198,7,42,Predictive Student (No Switch)
32,end_to_end_policy,cpu,2.250823,0,42,SwitchGLOBE Exact
32,end_to_end_policy,cpu,1.570322,1,42,Predictive Student (No Switch)
32,end_to_end_policy,cpu,0.482812,2,42,Predictive Prior Only
