decision_steps,gate_margin,mean_outcome_divergence_rate_across_seeds,mean_skip_rate_across_seeds,outcome_divergence_rate_of_all_steps,outcome_divergence_rate_of_skipped,scope,seed_count,skip_rate
4000.0,0.1000,0.0,1.0,0.0,0.0,structural_hole_45,5,1.0
2109.0,0.1000,0.008157248157248156,0.5163729318724267,0.004267425320056899,0.008264462809917356,unconditional_sparse,5,0.5163584637268848
43467.0,0.2000,0.03948798059124984,0.9307783718944356,0.03713161708882601,0.039894208665991054,overall,5,0.9307520647847792
2342.0,0.2000,0.005183743096456569,0.9888989120332404,0.005123825789923143,0.0051813471502590676,heldout_medium,5,0.9888983774551665
2322.0,0.2000,0.025243017977345295,0.9496696204338482,0.024117140396210164,0.025396825396825397,ood_extreme_mobility,5,0.9496124031007752
2316.0,0.2000,0.012097649635657518,0.9655207777049112,0.011658031088082901,0.012075134168157423,ood_fast_mobility,5,0.9654576856649395
2454.0,0.2000,0.011109892254530272,0.9547752493277872,0.010594947025264874,0.011096884336320957,ood_link_loss,5,0.9547677261613692
2537.0,0.2000,0.004407272698650799,0.8924220243922705,0.003941663381947182,0.00441696113074205,ood_link_loss_30,5,0.892392589672842
2599.0,0.2000,0.0062638707079014765,0.9830739587965022,0.0061562139284340135,0.0062622309197651665,ood_nodes_10,5,0.9830704116968064
2946.0,0.2000,0.01002265955753249,0.9796163217134322,0.009843856076035303,0.010048510048510048,ood_nodes_16,5,0.9796334012219959
3688.0,0.2000,0.025598353268699015,0.9734030297894508,0.024945770065075923,0.02562674094707521,ood_nodes_24,5,0.9734273318872018
2234.0,0.2000,0.003643816363995969,0.9820988954765703,0.0035810205908683975,0.0036463081130355514,ood_sparse,5,0.982094897045658
4565.0,0.2000,0.1296643720816538,0.8365826944140198,0.11478641840087624,0.13720869337522912,predictive_break_225_link_loss,5,0.8365826944140197
6000.0,0.2000,0.13333333333333333,0.9666666666666666,0.13333333333333333,0.13793103448275862,predictive_break_45,5,0.9666666666666667
3355.0,0.2000,0.0,0.8548435171385991,0.0,0.0,structural_hole_225_link_loss,5,0.8548435171385991
4000.0,0.2000,0.0,1.0,0.0,0.0,structural_hole_45,5,1.0
2109.0,0.2000,0.010535301143417542,0.6549394039108004,0.006638217164532954,0.010137581462708182,unconditional_sparse,5,0.6548127074442864
43467.0,0.3000,0.04152681106159113,0.9558806015759871,0.040260427450709735,0.042119957639356886,overall,5,0.9558515655554789
2342.0,0.3000,0.005583305022332279,0.9935952107593898,0.005550811272416738,0.00558659217877095,heldout_medium,5,0.9935952177625961
2322.0,0.3000,0.030733158146927963,0.9823775227292757,0.030146425495262703,0.030688294607628234,ood_extreme_mobility,5,0.9823428079242033
2316.0,0.3000,0.01665696964276659,0.984919805279743,0.016407599309153715,0.016659359929855327,ood_fast_mobility,5,0.9848877374784111
2454.0,0.3000,0.014213304880691077,0.97395227923766,0.013854930725346373,0.014225941422594143,ood_link_loss,5,0.973920130399348
2537.0,0.3000,0.010600813776342971,0.9391145741793114,0.010248324793062672,0.010910616869492237,ood_link_loss_30,5,0.9392983839180133
2599.0,0.3000,0.009312050732584802,0.9907692307692308,0.00923432089265102,0.009320388349514564,ood_nodes_10,5,0.990765679107349
2946.0,0.3000,0.013048834691884064,0.9881151856382479,0.012898845892735914,0.01305393335623497,ood_nodes_16,5,0.9881194840461643
3688.0,0.3000,0.030229497799280896,0.9856130920599204,0.02982646420824295,0.030261348005502064,ood_nodes_24,5,0.9856290672451193
2234.0,0.3000,0.00496529742426568,0.9928411633109621,0.004923903312444047,0.004959422903516681,ood_sparse,5,0.9928379588182632
4565.0,0.3000,0.1236188609885871,0.8852135815991238,0.11631982475355969,0.13140311804008908,predictive_break_225_link_loss,5,0.8852135815991238
6000.0,0.3000,0.13333333333333333,0.9666666666666666,0.13333333333333333,0.13793103448275862,predictive_break_45,5,0.9666666666666667
3355.0,0.3000,0.0,0.9049180327868852,0.0,0.0,structural_hole_225_link_loss,5,0.9049180327868852
4000.0,0.3000,0.0,1.0,0.0,0.0,structural_hole_45,5,1.0
2109.0,0.3000,0.02895326561984486,0.792522448904524,0.026078710289236605,0.03293413173652695,unconditional_sparse,5,0.7918444760550024
43467.0,0.5000,0.04826419350915181,1.0,0.04826650102376515,0.04826650102376515,overall,5,1.0
2342.0,0.5000,0.006404789240610137,1.0,0.0064047822374039285,0.0064047822374039285,heldout_medium,5,1.0
2322.0,0.5000,0.030972843975342407,1.0,0.031007751937984496,0.031007751937984496,ood_extreme_mobility,5,1.0
2316.0,0.5000,0.017243783031356413,1.0,0.017271157167530225,0.017271157167530225,ood_fast_mobility,5,1.0
2454.0,0.5000,0.01426329311715745,1.0,0.01426242868785656,0.01426242868785656,ood_link_loss,5,1.0
2537.0,0.5000,0.010217927967006971,1.0,0.010248324793062672,0.010248324793062672,ood_link_loss_30,5,1.0
2599.0,0.5000,0.00961686675559508,1.0,0.009619084263178146,0.009619084263178146,ood_nodes_10,5,1.0
2946.0,0.5000,0.013914027971437528,1.0,0.013917175831636116,0.013917175831636116,ood_nodes_16,5,1.0
3688.0,0.5000,0.031167851095170025,1.0,0.031182212581344904,0.031182212581344904,ood_nodes_24,5,1.0
2234.0,0.5000,0.004921700223713647,1.0,0.004923903312444047,0.004923903312444047,ood_sparse,5,1.0
4565.0,0.5000,0.14501642935377873,1.0,0.14501642935377876,0.14501642935377876,predictive_break_225_link_loss,5,1.0
6000.0,0.5000,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,predictive_break_45,5,1.0
3355.0,0.5000,0.0,1.0,0.0,0.0,structural_hole_225_link_loss,5,1.0
4000.0,0.5000,0.0,1.0,0.0,0.0,structural_hole_45,5,1.0
2109.0,0.5000,0.026629538194870073,1.0,0.026552868658131817,0.026552868658131817,unconditional_sparse,5,1.0
43467.0,1.0000,0.04826419350915181,1.0,0.04826650102376515,0.04826650102376515,overall,5,1.0
