block,component,device,latency_ms,order_position,training_seed,variant
25,end_to_end_policy,cpu,0.460526,2,2718,Teacher Distillation Only
25,end_to_end_policy,cpu,0.437174,3,2718,Existing Phase11 Predictive Prior
25,end_to_end_policy,cpu,0.462449,4,2718,Risk-Oracle Only
25,end_to_end_policy,cpu,0.431159,5,2718,Shortest+Risk (No Teacher)
25,end_to_end_policy,cpu,0.477934,6,2718,Teacher+Shortest+Risk
26,end_to_end_policy,cpu,0.452077,0,2718,Teacher Distillation Only
26,end_to_end_policy,cpu,0.470733,1,2718,Shortest-Oracle Only
26,end_to_end_policy,cpu,0.438309,2,2718,Teacher+Shortest+Risk
26,end_to_end_policy,cpu,0.46888,3,2718,Shortest+Risk (No Teacher)
26,end_to_end_policy,cpu,0.439664,4,2718,Risk-Oracle Only
26,end_to_end_policy,cpu,0.462713,5,2718,Existing Phase11 Predictive Prior
26,end_to_end_policy,cpu,0.444617,6,2718,Fixed Manual Prior
27,end_to_end_policy,cpu,0.473613,0,2718,Shortest+Risk (No Teacher)
27,end_to_end_policy,cpu,0.449631,1,2718,Teacher Distillation Only
27,end_to_end_policy,cpu,0.455746,2,2718,Teacher+Shortest+Risk
27,end_to_end_policy,cpu,0.460293,3,2718,Fixed Manual Prior
27,end_to_end_policy,cpu,0.431567,4,2718,Risk-Oracle Only
27,end_to_end_policy,cpu,0.47145,5,2718,Existing Phase11 Predictive Prior
27,end_to_end_policy,cpu,0.432189,6,2718,Shortest-Oracle Only
28,end_to_end_policy,cpu,0.478608,0,2718,Existing Phase11 Predictive Prior
28,end_to_end_policy,cpu,0.437624,1,2718,Fixed Manual Prior
28,end_to_end_policy,cpu,0.472875,2,2718,Shortest+Risk (No Teacher)
28,end_to_end_policy,cpu,0.542279,3,2718,Risk-Oracle Only
28,end_to_end_policy,cpu,0.482793,4,2718,Teacher Distillation Only
28,end_to_end_policy,cpu,0.459771,5,2718,Shortest-Oracle Only
28,end_to_end_policy,cpu,0.480666,6,2718,Teacher+Shortest+Risk
29,end_to_end_policy,cpu,0.455882,0,2718,Teacher+Shortest+Risk
29,end_to_end_policy,cpu,0.48728,1,2718,Shortest+Risk (No Teacher)
29,end_to_end_policy,cpu,0.441416,2,2718,Existing Phase11 Predictive Prior
29,end_to_end_policy,cpu,0.474779,3,2718,Shortest-Oracle Only
29,end_to_end_policy,cpu,0.443668,4,2718,Teacher Distillation Only
29,end_to_end_policy,cpu,0.46897,5,2718,Risk-Oracle Only
29,end_to_end_policy,cpu,0.44766,6,2718,Fixed Manual Prior
30,end_to_end_policy,cpu,0.472517,0,2718,Shortest-Oracle Only
30,end_to_end_policy,cpu,0.46406,1,2718,Risk-Oracle Only
30,end_to_end_policy,cpu,0.467249,2,2718,Fixed Manual Prior
30,end_to_end_policy,cpu,0.463382,3,2718,Teacher Distillation Only
30,end_to_end_policy,cpu,0.450672,4,2718,Shortest+Risk (No Teacher)
30,end_to_end_policy,cpu,0.466064,5,2718,Teacher+Shortest+Risk
30,end_to_end_policy,cpu,0.436809,6,2718,Existing Phase11 Predictive Prior
31,end_to_end_policy,cpu,0.488654,0,2718,Teacher+Shortest+Risk
31,end_to_end_policy,cpu,0.448519,1,2718,Teacher Distillation Only
31,end_to_end_policy,cpu,0.468688,2,2718,Shortest-Oracle Only
31,end_to_end_policy,cpu,0.44773,3,2718,Shortest+Risk (No Teacher)
31,end_to_end_policy,cpu,0.476008,4,2718,Existing Phase11 Predictive Prior
31,end_to_end_policy,cpu,0.434668,5,2718,Fixed Manual Prior
31,end_to_end_policy,cpu,0.467107,6,2718,Risk-Oracle Only
32,end_to_end_policy,cpu,0.450106,0,2718,Shortest+Risk (No Teacher)
32,end_to_end_policy,cpu,0.47033,1,2718,Risk-Oracle Only
32,end_to_end_policy,cpu,0.443739,2,2718,Teacher Distillation Only
32,end_to_end_policy,cpu,0.56825,3,2718,Shortest-Oracle Only
32,end_to_end_policy,cpu,0.455124,4,2718,Fixed Manual Prior
32,end_to_end_policy,cpu,0.45524,5,2718,Teacher+Shortest+Risk
32,end_to_end_policy,cpu,0.464486,6,2718,Existing Phase11 Predictive Prior
33,end_to_end_policy,cpu,0.477628,0,2718,Teacher Distillation Only
33,end_to_end_policy,cpu,0.47001,1,2718,Shortest-Oracle Only
33,end_to_end_policy,cpu,0.47344,2,2718,Risk-Oracle Only
33,end_to_end_policy,cpu,0.467862,3,2718,Existing Phase11 Predictive Prior
33,end_to_end_policy,cpu,0.449944,4,2718,Fixed Manual Prior
33,end_to_end_policy,cpu,0.469268,5,2718,Shortest+Risk (No Teacher)
33,end_to_end_policy,cpu,0.435482,6,2718,Teacher+Shortest+Risk
34,end_to_end_policy,cpu,0.485476,0,2718,Fixed Manual Prior
34,end_to_end_policy,cpu,0.437582,1,2718,Teacher Distillation Only
34,end_to_end_policy,cpu,0.485383,2,2718,Existing Phase11 Predictive Prior
34,end_to_end_policy,cpu,0.435005,3,2718,Shortest-Oracle Only
34,end_to_end_policy,cpu,0.470419,4,2718,Risk-Oracle Only
34,end_to_end_policy,cpu,0.43601,5,2718,Shortest+Risk (No Teacher)
34,end_to_end_policy,cpu,0.462517,6,2718,Teacher+Shortest+Risk
35,end_to_end_policy,cpu,0.451271,0,2718,Teacher Distillation Only
35,end_to_end_policy,cpu,0.46711,1,2718,Existing Phase11 Predictive Prior
35,end_to_end_policy,cpu,0.445098,2,2718,Teacher+Shortest+Risk
35,end_to_end_policy,cpu,0.450819,3,2718,Shortest+Risk (No Teacher)
35,end_to_end_policy,cpu,0.465292,4,2718,Risk-Oracle Only
